Stop ID, Stop Name, Stop Latitude, Stop Longitude
490, Bojdeuca Ion Creangă, 47.174474, 27.581932
491, Bojdeuca Ion Creangă, 47.17456, 27.581759
492, Centrul Rezidențial pentru Mame și Copii, 47.176618, 27.579182
493, Centrul Rezidențial pentru Mame și Copii, 47.176368, 27.579445
494, Str. Lascăr Catargi, 47.178781, 27.575445
495, Str. Lascăr Catargi, 47.178713, 27.57545
496, Str. Mihai Costăchescu, 47.18311, 27.570283
497, Str. Mihai Costăchescu, 47.183064, 27.570178
498, Exclusive Residence, 47.186037, 27.567398
499, Exclusive Residence, 47.185967, 27.567312
500, Târgușor Copou, 47.188241, 27.565273
501, Târgușor Copou, 47.188196, 27.565163
502, Str. Caprelor, 47.192518, 27.562622
503, Str. Caprelor, 47.192737, 27.562399
504, Str. Ursulea, 47.203416, 27.552342
505, Str. Ursulea, 47.203193, 27.552207
506, Pod Cacaina, 47.2036, 27.55791
508, Tătărași Nord, 47.16145, 27.60857
509, Tătărași Nord, 47.16157, 27.60829
510, Bd. Chimiei (staţie temporară), 47.15089, 27.6329
511, Citadin, 47.15943, 27.60053
515, Pod Sf. Ioan, 47.15218, 27.64165
517, Bulevardul C.A.Rosetti, 47.17494, 27.58808
518, Pod Aroneanu, 47.19349, 27.59698
584, Colegiul Economic Administrativ, 47.16687, 27.58961
585, Colegiul Economic Administrativ, 47.16677, 27.58953
586, Str Mihai Eminescu, 47.16908, 27.58808
587, Str. Mihai Eminescu, 47.16897, 27.58802
588, Str. Nicolaie Balcescu, 47.17291, 27.58379
589, Str. Nicolaie Balcescu, 47.1728, 27.58378
590, Bojdeuca Ion Creanga, 47.17453, 27.58194
591, Bojdeuca Ion Creanga, 47.17449, 27.58182
592, Centrul Rezidential pentru Mame si Copii, 47.1767, 27.57895
593, Centrul Rezidential pentru Mame si Copii, 47.17655, 27.5791
594, Str Lascar Catargi, 47.17879, 27.57542
595, Str Lascar Catargi, 47.17872, 27.57534
599, Carolina - Vanatori, 47.2213, 27.54691
637, Str. Firmelor - Holboca, 47.14983, 27.67705
639, Calea Tomesti - Holboca, 47.14833, 27.6865
657, Str. Cornelia Emilian, 47.10725, 27.63904
658, Str. Boiangiu, 47.09972, 27.64959
659, Str. Theodor Rosetti, 47.09431, 27.65107
660, Motel Bucium, 47.09067, 27.65008
666, Motel Bucium, 47.09084, 27.65001
667, Str. Theodor Rosetti, 47.09431, 27.65112
668, Str. Boiangiu, 47.10008, 27.6495
669, Str. Cornelia Emilian, 47.10726, 27.63907
670, Pod de Fier, 47.16712735, 27.59440362
671, Str Albinet, 47.1756061, 27.58767664
680, Troita Sorogari, 47.19334, 27.59584
681, Zen Residence, 47.12977, 27.60581
682, Str. Visan, 47.12516, 27.60194
690, Zen Residence, 47.12973, 27.60593
733, Podu Ros, 47.15204, 27.58637
784, Podu Ros (4), 47.15205, 27.58635
