from, to, travel_time
153, 19, 254
153, 20, 254
153, 21, 277
153, 22, 268
153, 33, 124
153, 41, 158
153, 69, 284
153, 70, 66
153, 92, 190
153, 93, 299
153, 104, 248
153, 105, 255
153, 190, 284
153, 191, 284
154, 52, 295
154, 90, 101
154, 115, 195
155, 6, 260
155, 48, 187
155, 50, 86
155, 54, 61
156, 8, 179
156, 9, 56
156, 10, 135
156, 12, 274
156, 31, 162
156, 131, 262
156, 135, 211
156, 137, 204
156, 157, 35
156, 171, 161
156, 185, 129
157, 8, 192
157, 31, 175
157, 156, 35
157, 171, 151
157, 173, 1
158, 173, 54
158, 174, 2
159, 6, 234
159, 30, 278
159, 31, 210
159, 151, 238
159, 171, 165
159, 175, 1
160, 175, 31
160, 176, 2
161, 176, 32
161, 177, 0
162, 3, 123
162, 4, 81
162, 163, 40
162, 177, 62
163, 4, 114
163, 162, 40
163, 164, 37
164, 2, 71
164, 3, 94
164, 163, 37
164, 165, 50
165, 2, 113
165, 3, 136
165, 164, 50
165, 166, 115
166, 165, 115
166, 167, 52
166, 178, 146
167, 149, 235
167, 166, 52
167, 171, 206
167, 178, 116
167, 186, 202
168, 16, 101
168, 17, 138
168, 18, 244
168, 70, 290
168, 98, 251
168, 99, 251
168, 100, 251
168, 106, 150
168, 119, 243
168, 170, 71
169, 9, 205
169, 11, 80
169, 12, 134
169, 24, 139
169, 32, 26
169, 116, 110
169, 131, 281
169, 135, 220
169, 136, 203
169, 137, 220
170, 18, 258
170, 45, 12
170, 46, 39
170, 98, 259
170, 99, 259
170, 100, 259
170, 106, 112
170, 119, 257
170, 168, 71
171, 131, 207
171, 135, 201
171, 137, 172
171, 150, 192
171, 156, 161
171, 157, 151
171, 159, 165
171, 167, 206
171, 174, 152
171, 185, 116
171, 186, 15
172, 133, 124
172, 138, 118
172, 187, 15
173, 157, 1
173, 158, 54
174, 31, 202
174, 151, 243
174, 158, 2
174, 171, 152
174, 175, 25
175, 5, 197
175, 159, 1
175, 160, 31
175, 174, 25
176, 5, 179
176, 6, 237
176, 30, 280
176, 31, 231
176, 160, 2
176, 161, 32
177, 5, 185
177, 6, 253
177, 30, 297
177, 161, 0
177, 162, 62
178, 166, 146
178, 167, 116
179, 43, 144
179, 180, 56
180, 179, 56
181, 65, 71
181, 182, 72
182, 181, 72
182, 183, 38
183, 182, 38
183, 184, 75
184, 183, 75
185, 8, 241
185, 9, 109
185, 10, 20
185, 12, 164
185, 24, 159
185, 31, 228
185, 131, 151
185, 135, 100
185, 137, 93
185, 150, 169
185, 156, 129
185, 171, 116
186, 167, 202
186, 171, 15
